,Title,Jornada,Ciudad,URL,Descripcion,Compañia,Nº Empleados,Rubro,País
0,Data Scientist,,"Santo Domingo de Guzmán, Distrito Nacional, República Dominicana",https://do.linkedin.com/jobs/view/data-scientist-at-analytica-3660069755?refId=yI7LHcy30dADua5DZwycRQ%3D%3D&trackingId=iLh5yG5MyJHsyU%2BAHemulw%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,"Buscamos estudiantes de último y penúltimo año de economía, Ciencias Actuariales y estadística o ingeniería comercial. Experiencia previa no requerida.   Responsibilidades Mantener y manejar bases de datos Realizar análisis para clientes Generar contenido para clientes y público en general Brindar asistencia a clientes  Asistir a la gerencia en temas de análisis económico Participar en proyectos de inteligencia de datos",,,,
1,,,,https://do.linkedin.com/jobs/view/data-scientist-operations-research-at-mondel%C4%93z-international-3657703021?refId=yI7LHcy30dADua5DZwycRQ%3D%3D&trackingId=0HxVEN%2Bgn02WZvn1bfikSg%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,,,,,
2,,,,https://do.linkedin.com/jobs/view/ai%E8%A1%8C%E4%B8%9A%E5%BA%94%E7%94%A8%E7%AE%97%E6%B3%95%E7%A0%94%E7%A9%B6%E5%91%98-%E6%A0%A1%E5%9B%AD%E6%8B%9B%E8%81%98-at-huawei-3470775476?refId=yI7LHcy30dADua5DZwycRQ%3D%3D&trackingId=2sgY5JqKS8NJ4OWjpI3eJA%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,,,,,
3,,,,https://do.linkedin.com/jobs/view/junior-python-developer-remote-internship-%E2%80%93-it-at-talentkompass-deutschland-3651755922?refId=yI7LHcy30dADua5DZwycRQ%3D%3D&trackingId=OE%2Furg6FUg4AKaarum4qkg%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,,,,,
4,Junior Python Developer (Remote Internship – IT),Prácticas,República Dominicana,https://do.linkedin.com/jobs/view/junior-python-developer-remote-internship-%E2%80%93-it-at-talentkompass-deutschland-3651759126?refId=yI7LHcy30dADua5DZwycRQ%3D%3D&trackingId=54bMChpM2WLoHtyvR8T75g%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,"LOCATION: Remote Work SCHEDULE: Part-time Are you passionate about software development and seeking a remarkable opportunity to gain hands-on experience while working with a prestigious Management Consulting firm? TalentKompass Deutschland, a top Human Resources company based in Germany, is searching for a motivated Python Developer Intern to join our esteemed client. This remote position presents a fantastic opportunity for someone who is eager to learn and grow in a dynamic and fast-paced environment. As a Python Developer Intern, you will work closely with the software development and consulting teams, where you will be responsible for a variety of tasks, including software design, development, and debugging. You will have the unique chance to learn from experienced professionals who will provide mentorship and guidance throughout the internship. With this opportunity, you will gain valuable experience in software development, data analysis, and teamwork – all essential skills for a successful career in this field. Responsibilities: Assist in the design, implementation, and maintenance of software applications Collaborate with cross-functional teams to gather requirements and develop solutions Conduct research on emerging software technologies and trends Participate in software debugging and performance optimization Test and debug applications to ensure optimal performance and security Support the team with general administrative tasks as needed Contribute to the creation of technical documentation and user guides Requirements: Basic understanding of software development principles and practices Familiarity with Python and its associated libraries Excellent written and verbal communication skills in English Ability to work independently and as part of a team Strong analytical and problem-solving skills Knowledge of database systems, such as MySQL, PostgreSQL, is a plus Experience with version control systems, such as Git, is a plus At TalentKompass Deutschland, we are committed to helping our interns develop their skills and reach their full potential. Our client is a reputable Management Consulting firm that will provide invaluable experience in a competitive industry. Don't miss this incredible opportunity to jump-start your career in software development – apply now!",,,,
5,,,,https://do.linkedin.com/jobs/view/cv%E7%AE%97%E6%B3%95%E7%A0%94%E7%A9%B6%E5%91%98-%E6%A0%A1%E5%9B%AD%E6%8B%9B%E8%81%98-at-huawei-3470774475?refId=yI7LHcy30dADua5DZwycRQ%3D%3D&trackingId=JmmB67lCNuHezZ1bX%2B5H8g%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,,,,,
6,,,,https://do.linkedin.com/jobs/view/ai%E8%AE%AD%E7%BB%83-%E6%8E%A8%E7%90%86%E5%8A%A0%E9%80%9F%E7%AE%97%E6%B3%95%E7%A0%94%E7%A9%B6%E5%91%98-%E6%A0%A1%E5%9B%AD%E6%8B%9B%E8%81%98-at-huawei-3470775441?refId=yI7LHcy30dADua5DZwycRQ%3D%3D&trackingId=TZoBxmPElygpBkoQU96H9A%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,,,,,
7,,,,https://do.linkedin.com/jobs/view/ai%E5%8A%A0%E9%80%9F%E5%99%A8%E6%9E%B6%E6%9E%84%E9%A2%84%E7%A0%94%E7%A0%94%E7%A9%B6%E5%91%98-%E6%A0%A1%E5%9B%AD%E6%8B%9B%E8%81%98-at-huawei-3617881889?refId=yI7LHcy30dADua5DZwycRQ%3D%3D&trackingId=T4HV5P3WzUu3PhA9tb7r4g%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,,,,,
8,,,,https://do.linkedin.com/jobs/view/ai%E9%9F%B3%E8%A7%86%E9%A2%91%E7%AE%97%E6%B3%95%E7%A0%94%E7%A9%B6%E5%91%98-%E6%A0%A1%E5%9B%AD%E6%8B%9B%E8%81%98-at-huawei-3525224285?refId=yI7LHcy30dADua5DZwycRQ%3D%3D&trackingId=Q3iaBfaNv4Kp8yVzB0ingg%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,,,,,
9,,,,https://do.linkedin.com/jobs/view/ai%E5%8A%A0%E9%80%9F%E7%AE%97%E6%B3%95%E7%A0%94%E7%A9%B6%E5%B7%A5%E7%A8%8B%E5%B8%88-%E6%A0%A1%E5%9B%AD%E6%8B%9B%E8%81%98-at-huawei-3575555481?refId=yI7LHcy30dADua5DZwycRQ%3D%3D&trackingId=NiLQuc7l1T96Hty2duOb6w%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,,,,,
